"Cluster","Phase","Plot No","Unit Number","Building","Floor","Unit Status","New Unit Type","Bedrooms","Plot Area","  BUA","Garden","Roof Terrace"," Roof Garden","Price"
"CR","Phase 1A","3","CR3-A-101","A","First","Available","Apartment","2","","130","","","","  1,950,000 "
"CR","Phase 1A","3","CR3-A-107","A","First","Available","Apartment","2","","111","","","","  1,643,000 "
"CR","Phase 1A","3","CR3-A-201","A","Second","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","3","CR3-A-207","A","Second","Available","Apartment","2","","111","","","","  1,643,000 "
"CR","Phase 1A","3","CR3-A-301","A","Third","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","3","CR3-A-307","A","Third","Available","Apartment","2","","111","","","","  1,643,000 "
"CR","Phase 1A","3","CR3-A-401","A","Fourth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","3","CR3-A-407","A","Fourth","Available","Apartment","2","","111","","","","  1,643,000 "
"CR","Phase 1A","3","CR3-A-501","A","Fifth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","3","CR3-A-507","A","Fifth","Available","Apartment","2","","111","","","","  1,643,000 "
"CR","Phase 1A","3","CR3-A-601","A","Sixth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","3","CR3-A-605","A","Sixth","Available","Apartment","2","","111","","","","  1,643,000 "
"CR","Phase 1A","4","CR4-A-G01","A","Ground","Available","Apartment","2","","115","72","","","  2,300,000 "
"CR","Phase 1A","4","CR4-A-G08","A","Ground","Available","Apartment","2","","105","60","","","  2,100,000 "
"CR","Phase 1A","4","CR4-A-101","A","First","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","4","CR4-A-107","A","First","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","4","CR4-A-201","A","Second","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","4","CR4-A-207","A","Second","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","4","CR4-A-301","A","Third","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","4","CR4-A-307","A","Third","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","4","CR4-A-501","A","Fifth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","4","CR4-A-507","A","Fifth","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","4","CR4-A-601","A","Sixth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","4","CR4-A-605","A","Sixth","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","5","CR5-A-G01","A","Ground","Available","Apartment","2","","115","72","","","  2,300,000 "
"CR","Phase 1A","5","CR5-A-G08","A","Ground","Available","Apartment","2","","105","60","","","  2,100,000 "
"CR","Phase 1A","5","CR5-A-101","A","First","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","5","CR5-A-107","A","First","Available","Apartment","2","","111","","","","  1,776,000 "
"CR","Phase 1A","5","CR5-A-201","A","Second","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","5","CR5-A-207","A","Second","Available","Apartment","2","","111","","","","  1,776,000 "
"CR","Phase 1A","5","CR5-A-301","A","Third","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","5","CR5-A-307","A","Third","Available","Apartment","2","","111","","","","  1,776,000 "
"CR","Phase 1A","5","CR5-A-401","A","Fourth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","5","CR5-A-407","A","Fourth","Available","Apartment","2","","111","","","","  1,776,000 "
"CR","Phase 1A","5","CR5-A-501","A","Fifth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","5","CR5-A-507","A","Fifth","Available","Apartment","2","","111","","","","  1,776,000 "
"CR","Phase 1A","5","CR5-A-601","A","Sixth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","5","CR5-A-605","A","Sixth","Available","Apartment","2","","111","","","","  1,776,000 "
"CR","Phase 1A","6","CR6-A-G01","A","Ground","Available","Apartment","2","","115","72","","","  2,300,000 "
"CR","Phase 1A","6","CR6-A-G08","A","Ground","Available","Apartment","2","","105","60","","","  2,100,000 "
"CR","Phase 1A","6","CR6-A-101","A","First","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","6","CR6-A-107","A","First","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","6","CR6-A-201","A","Second","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","6","CR6-A-207","A","Second","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","6","CR6-A-301","A","Third","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","6","CR6-A-307","A","Third","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","6","CR6-A-401","A","Fourth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","6","CR6-A-407","A","Fourth","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","6","CR6-A-501","A","Fifth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","6","CR6-A-507","A","Fifth","Available","Apartment","2","","111","","","","  1,677,000 "
"CR","Phase 1A","6","CR6-A-601","A","Sixth","Available","Apartment","2","","130","","","","  1,963,000 "
"CR","Phase 1A","6","CR6-A-605","A","Sixth","Available","Apartment","2","","111","","","","  1,677,000 "
